2,Rahul,22,Male,9876543210,abc@gmail.com,12345678,Patient
3,Rohit,50,Male,9876543210,rohit@gmail.com,123456,Patient
4,Raghu,45,Male,7894561320,raghu@gmail.com,12356,Patient
5,Anu,25,Female,7894561230,anu@gmail.com,1235456,Patient
6,Amrutha,25,Female,1234567890,amu@gmail.com,123456,Patient
7,Nethra,25,Female,9876541230,nethra@gmailcom,12345,Healthcare Provider
8,Radha,20,Female,9876543210,radha@123,12345,Patient
9,Amrutha M,20,Female,6549825456,amu@321,4321,Healthcare Provider
10,Keerthi,25,Female,9876543334,keerthi@123,54321,Healthcare Provider
11,Manu,45,Male,5487917663,manu@123,12345,Patient
